event,step,tokens,tokens_b,loss,perplexity,lr,tokens_per_sec_window,source
train,1610,850698240,0.850698,3.653288632631302,,0.0003989726352128147,38119.594673108404,
train,1620,855982080,0.855982,3.6173009052872658,,0.0003989387084330207,38106.905078663534,
train,1630,861265920,0.861266,3.5974409207701683,,0.00039890423218795886,38120.66699011909,
train,1640,866549760,0.866550,3.60399067401886,,0.000398869206583495,38103.99035294016,
train,1650,871833600,0.871834,3.574461117386818,,0.000398833631727182,38114.409074524105,
train,1660,877117440,0.877117,3.5883105099201202,,0.000398797507728259,38108.03945710678,
train,1670,882401280,0.882401,3.5683370381593704,,0.0003987608346976518,38116.69065847706,
train,1680,887685120,0.887685,3.574288956820965,,0.0003987236127479718,38115.15897458342,
train,1690,892968960,0.892969,3.5818217918276787,,0.0003986858419935161,38112.917228238235,
train,1700,898252800,0.898253,3.5972354784607887,,0.0003986475225502669,38110.484576346484,
train,1710,903536640,0.903537,3.5274896398186684,,0.0003986086545358914,38114.26021238449,
train,1720,908820480,0.908820,3.5700152590870857,,0.0003985692380697412,38114.14019272145,
train,1730,914104320,0.914104,3.583269640803337,,0.00039852927327285205,38114.34673713258,
train,1740,919388160,0.919388,3.5861146822571754,,0.0003984887602679434,38108.541076780326,
train,1750,924672000,0.924672,3.5242802798748016,,0.0003984476991794181,38106.20647877845,
train,1760,929955840,0.929956,3.6071292012929916,,0.00039840609013336217,38109.089892007876,
train,1770,935239680,0.935240,3.5199455693364143,,0.0003983639332575439,38112.67307734613,
train,1780,940523520,0.940524,3.5328966602683067,,0.0003983212286814141,38108.65830893829,
train,1790,945807360,0.945807,3.5137614384293556,,0.0003982779765361052,38105.587116903276,
train,1800,951091200,0.951091,3.5575453639030457,,0.00039823417695443117,38112.245280090465,
train,1810,956375040,0.956375,3.5460190400481224,,0.0003981898300708869,38117.32211649323,
train,1820,961658880,0.961659,3.490314096212387,,0.00039814493602164796,38117.698234682655,
train,1830,966942720,0.966943,3.496822737157345,,0.00039809949494457,35351.83719987964,
train,1840,972226560,0.972227,3.470168463885784,,0.0003980535069791885,38103.92202239529,
train,1850,977510400,0.977510,3.533738896250725,,0.0003980069722667183,38116.19387201439,
train,1860,982794240,0.982794,3.5399036705493927,,0.00039795989095005297,38102.70377511986,
train,1870,988078080,0.988078,3.463568978011608,,0.0003979122631737646,38107.36158709877,
train,1880,993361920,0.993362,3.5486879497766495,,0.0003978640890841035,38116.000090782065,
train,1890,998645760,0.998646,3.5232061967253685,,0.0003978153688289971,38105.68559232627,
train,1900,1003929600,1.003930,3.5021243169903755,,0.0003977661025580504,38101.15448099212,
train,1910,1009213440,1.009213,3.525203324854374,,0.00039771629042254474,38118.05737973847,
train,1920,1014497280,1.014497,3.4757864587008953,,0.0003976659325754378,38107.98067902311,
train,1930,1019781120,1.019781,3.461581841111183,,0.00039761502917136273,38102.56116221388,
train,1940,1025064960,1.025065,3.538015827536583,,0.0003975635803666284,38110.595856658045,
train,1950,1030348800,1.030349,3.5109062865376472,,0.00039751158631921786,38111.30287537286,
train,1960,1035632640,1.035633,3.4489574283361435,,0.0003974590471887888,38101.75502959005,
train,1970,1040916480,1.040916,3.4607997238636017,,0.0003974059631366726,38101.43562551381,
train,1980,1046200320,1.046200,3.493686094880104,,0.0003973523343258739,38113.54489063379,
train,1990,1051484160,1.051484,3.4791280925273895,,0.0003972981609210702,38113.60099847106,
train,2000,1056768000,1.056768,3.4677944853901863,,0.00039724344308861114,38103.46959258353,
eval,2000,1056768000,1.056768,3.4813720248639584,32.50428818754459,,,
train,2010,1062051840,1.062052,3.4647787287831306,,0.00039718818099651826,31440.440171216433,
train,2020,1067335680,1.067336,3.4127484411001205,,0.00039713237481448426,38115.096044772894,
train,2030,1072619520,1.072620,3.4563336223363876,,0.00039707602471387266,38123.37526239285,
