attn_implementation,base_model,block_size,compile,compile_mode,device,dtype,event,flops_per_token_estimate,init_model_name_or_path,liger_kernel,loss,lr,mfu,mfu_pct,mfu_peak_tflops,packing,parameters,path,peak_memory_gb,perplexity,planned_tokens,rope_scaling,run_group,run_name,sequences,sequences_per_step,source_file,start_step,step,step_time_sec_window,steps_per_sec_window,supervised_tokens,supervised_tokens_per_sec_window,tokens,tokens_per_sec_window,tokens_per_step,train_on_prompt
,,,,,,,train,,,,2.9453908801078796,7.999993755517755e-06,0.5041392374731273,50.41392374731273,,,,,,,,,cpt10b_phase1_2k,,,,logs/cpt10b-curriculum/phase1_2k.log,,310,10.719604992866516,,,,162529280,48909.2648795262,,
,,,,,,,train,,,,2.98944354057312,7.999975022092684e-06,0.5041754673233738,50.417546732337385,,,,,,,,,cpt10b_phase1_2k,,,,logs/cpt10b-curriculum/phase1_2k.log,,320,10.718834686279298,,,,167772160,48912.779732587696,,
,,,,,,,train,,,,2.94254569709301,7.999943799789776e-06,0.5041155012168146,50.41155012168146,,,,,,,,,cpt10b_phase1_2k,,,,logs/cpt10b-curriculum/phase1_2k.log,,330,10.720109724998474,,,,173015040,48906.962097356205,,
,,,,,,,train,,,,2.953819915652275,7.999900088717348e-06,0.5043566105440669,50.43566105440669,,,,,,,,,cpt10b_phase1_2k,,,,logs/cpt10b-curriculum/phase1_2k.log,,340,10.714984941482545,,,,178257920,48930.353412840035,,
,,,,,,,train,,,,2.9458284825086594,7.999843889027038e-06,0.5045585399231689,50.45585399231689,,,,,,,,,cpt10b_phase1_2k,,,,logs/cpt10b-curriculum/phase1_2k.log,,350,10.710696697235107,,,,183500800,48949.94367036286,,
,,,,,,,train,,,,2.9949605762958527,7.999775200913812e-06,0.5043884662530783,50.43884662530783,,,,,,,,,cpt10b_phase1_2k,,,,logs/cpt10b-curriculum/phase1_2k.log,,360,10.714308214187621,,,,188743680,48933.44390688246,,
,,,,,,,train,,,,2.990641698241234,7.99969402461596e-06,0.5041618702867717,50.41618702867717,,,,,,,,,cpt10b_phase1_2k,,,,logs/cpt10b-curriculum/phase1_2k.log,,370,10.719123768806458,,,,193986560,48911.46061077508,,
,,,,,,,train,,,,3.0181013494729996,7.999600360415096e-06,0.5044307140454551,50.44307140454551,,,,,,,,,cpt10b_phase1_2k,,,,logs/cpt10b-curriculum/phase1_2k.log,,380,10.7134108543396,,,,199229440,48937.54259294841,,
,,,,,,,train,,,,2.9864372462034225,7.999494208636155e-06,0.503994328663133,50.3994328663133,,,,,,,,,cpt10b_phase1_2k,,,,logs/cpt10b-curriculum/phase1_2k.log,,390,10.722687101364135,,,,204472320,48895.20649476942,,
,,,,,,,train,,,,2.9764001816511154,7.999375569647396e-06,0.5041203054699452,50.41203054699452,,,,,,,,,cpt10b_phase1_2k,,,,logs/cpt10b-curriculum/phase1_2k.log,,400,10.72000756263733,,,,209715200,48907.428183848686,,
,,,,,,,train,,,,2.9605410993099213,7.999244443860392e-06,0.5043163769142291,50.431637691422914,,,,,,,,,cpt10b_phase1_2k,,,,logs/cpt10b-curriculum/phase1_2k.log,,410,10.715839767456055,,,,214958080,48926.45013153889,,
,,,,,,,train,,,,2.9890237152576447,7.999100831730043e-06,0.5043141036263352,50.43141036263352,,,,,,,,,cpt10b_phase1_2k,,,,logs/cpt10b-curriculum/phase1_2k.log,,420,10.715888071060181,,,,220200960,48926.22958762664,,
,,,,,,,train,,,,2.979728862643242,7.99894473375456e-06,0.504361467651194,50.4361467651194,,,,,,,,,cpt10b_phase1_2k,,,,logs/cpt10b-curriculum/phase1_2k.log,,430,10.714881753921508,,,,225443840,48930.824626983616,,
,,,,,,,train,,,,2.9750761538743973,7.998776150475472e-06,0.5041779703794447,50.41779703794447,,,,,,,,,cpt10b_phase1_2k,,,,logs/cpt10b-curriculum/phase1_2k.log,,440,10.718781471252441,,,,230686720,48913.022567549306,,
,,,,,,,train,,,,2.9733022302389145,7.998595082477624e-06,0.5044178283809679,50.44178283809679,,,,,,,,,cpt10b_phase1_2k,,,,logs/cpt10b-curriculum/phase1_2k.log,,450,10.71368453502655,,,,235929600,48936.29248517916,,
,,,,,,,train,,,,2.9674892276525497,7.998401530389162e-06,0.5042809009233161,50.428090092331615,,,,,,,,,cpt10b_phase1_2k,,,,logs/cpt10b-curriculum/phase1_2k.log,,460,10.716593623161316,,,,241172480,48923.00841443486,,
,,,,,,,train,,,,2.9702301025390625,7.998195494881555e-06,0.5042536389982698,50.42536389982698,,,,,,,,,cpt10b_phase1_2k,,,,logs/cpt10b-curriculum/phase1_2k.log,,470,10.717173004150391,,,,246415360,48920.363588136664,,
,,,,,,,train,,,,2.972881630063057,7.997976976669571e-06,0.5045710048399905,50.45710048399905,,,,,,,,,cpt10b_phase1_2k,,,,logs/cpt10b-curriculum/phase1_2k.log,,480,10.710432100296021,,,,251658240,48951.15295913313,,
,,,,,,,train,,,,2.9348198622465134,7.99774597651128e-06,0.5041350125475056,50.41350125475056,,,,,,,,,cpt10b_phase1_2k,,,,logs/cpt10b-curriculum/phase1_2k.log,,490,10.719694828987121,,,,256901120,48908.8549967181,,
,,,,,,,train,,,,3.0070173293352127,7.997502495208061e-06,0.5038949764174129,50.389497641741286,,,,,,,,,cpt10b_phase1_2k,,,,logs/cpt10b-curriculum/phase1_2k.log,,500,10.724801278114318,,,,262144000,48885.56779787556,,
,,,,,,,eval,,,,2.9021125733852386,,,,,,,,,18.212580169123008,,,cpt10b_phase1_2k,,,,logs/cpt10b-curriculum/phase1_2k.log,,500,,,,,,,,
,,,,,,,checkpoint,,,,,,,,,,,runs/l20-edu-135m-cpt10b-2k/step-000500,,,,,cpt10b_phase1_2k,,,,logs/cpt10b-curriculum/phase1_2k.log,,500,,,,,,,,
,,,,,,,train,,,,2.97084042429924,7.997246533604591e-06,0.4654200268214491,46.54200268214491,,,,,,,,,cpt10b_phase1_2k,,,,logs/cpt10b-curriculum/phase1_2k.log,,510,11.611390089988708,,,,267386880,45152.90554677333,,
,,,,,,,train,,,,2.9602763652801514,7.996978092588837e-06,0.5041429960121273,50.41429960121273,,,,,,,,,cpt10b_phase1_2k,,,,logs/cpt10b-curriculum/phase1_2k.log,,520,10.719525074958801,,,,272629760,48909.629515654175,,
,,,,,,,train,,,,2.9539907723665237,7.996697173092066e-06,0.5041230927635602,50.41230927635601,,,,,,,,,cpt10b_phase1_2k,,,,logs/cpt10b-curriculum/phase1_2k.log,,530,10.719948291778564,,,,277872640,48907.69859422657,,
,,,,,,,train,,,,2.996228903532028,7.996403776088829e-06,0.5044082411732614,50.440824117326144,,,,,,,,,cpt10b_phase1_2k,,,,logs/cpt10b-curriculum/phase1_2k.log,,540,10.713888168334961,,,,283115520,48935.362378481805,,
,,,,,,,train,,,,2.995947301387787,7.996097902596968e-06,0.5044805712327682,50.448057123276826,,,,,,,,,cpt10b_phase1_2k,,,,logs/cpt10b-curriculum/phase1_2k.log,,550,10.712352061271668,,,,288358400,48942.37950743392,,
,,,,,,,train,,,,2.971293807029724,7.995779553677606e-06,0.5041328350789921,50.41328350789921,,,,,,,,,cpt10b_phase1_2k,,,,logs/cpt10b-curriculum/phase1_2k.log,,560,10.719741129875183,,,,293601280,48908.643748760434,,
,,,,,,,train,,,,3.029944956302643,7.995448730435145e-06,0.5044609859917464,50.44609859917464,,,,,,,,,cpt10b_phase1_2k,,,,logs/cpt10b-curriculum/phase1_2k.log,,570,10.712767958641052,,,,298844160,48940.479437632435,,
,,,,,,,train,,,,2.963644966483116,7.995105434017262e-06,0.5041434434075845,50.414344340758454,,,,,,,,,cpt10b_phase1_2k,,,,logs/cpt10b-curriculum/phase1_2k.log,,580,10.719515562057495,,,,304087040,48909.67291989906,,
,,,,,,,train,,,,3.0024981647729874,7.994749665614908e-06,0.5043412677277465,50.43412677277465,,,,,,,,,cpt10b_phase1_2k,,,,logs/cpt10b-curriculum/phase1_2k.log,,590,10.715310907363891,,,,309329920,48928.864923526686,,
,,,,,,,train,,,,2.971622973680496,7.994381426462297e-06,0.504277951453888,50.4277951453888,,,,,,,,,cpt10b_phase1_2k,,,,logs/cpt10b-curriculum/phase1_2k.log,,600,10.716656303405761,,,,314572800,48922.72227050716,,
,,,,,,,train,,,,3.0021672546863556,7.994000717836911e-06,0.5039814876950659,50.39814876950659,,,,,,,,,cpt10b_phase1_2k,,,,logs/cpt10b-curriculum/phase1_2k.log,,610,10.722960305213928,,,,319815680,48893.9607232408,,
,,,,,,,train,,,,2.9571241587400436,7.993607541059485e-06,0.5040499034534318,50.40499034534318,,,,,,,,,cpt10b_phase1_2k,,,,logs/cpt10b-curriculum/phase1_2k.log,,620,10.721504855155946,,,,325058560,48900.59810474005,,
,,,,,,,train,,,,3.001219764351845,7.993201897494013e-06,0.5043649287337795,50.436492873377944,,,,,,,,,cpt10b_phase1_2k,,,,logs/cpt10b-curriculum/phase1_2k.log,,630,10.714808225631714,,,,330301440,48931.16040526143,,
,,,,,,,train,,,,2.989576742053032,7.992783788547736e-06,0.5043256430746328,50.43256430746328,,,,,,,,,cpt10b_phase1_2k,,,,logs/cpt10b-curriculum/phase1_2k.log,,640,10.715642881393432,,,,335544320,48927.349091706856,,
,,,,,,,train,,,,2.9405760169029236,7.992353215671137e-06,0.504185883429856,50.4185883429856,,,,,,,,,cpt10b_phase1_2k,,,,logs/cpt10b-curriculum/phase1_2k.log,,650,10.718613243103027,,,,340787200,48913.79025522328,,
,,,,,,,train,,,,2.937662288546562,7.991910180357944e-06,0.5021664641962575,50.216646419625754,,,,,,,,,cpt10b_phase1_2k,,,,logs/cpt10b-curriculum/phase1_2k.log,,660,10.761717224121094,,,,346030080,48717.87551013435,,
,,,,,,,train,,,,2.970114126801491,7.991454684145114e-06,0.504755030030948,50.4755030030948,,,,,,,,,cpt10b_phase1_2k,,,,logs/cpt10b-curriculum/phase1_2k.log,,670,10.706527256965638,,,,351272960,48969.00623485544,,
,,,,,,,train,,,,2.946892648935318,7.990986728612835e-06,0.5038624079397033,50.38624079397033,,,,,,,,,cpt10b_phase1_2k,,,,logs/cpt10b-curriculum/phase1_2k.log,,680,10.725494503974915,,,,356515840,48882.4081542997,,
,,,,,,,train,,,,2.9825404286384583,7.990506315384523e-06,0.5020276783800275,50.20276783800275,,,,,,,,,cpt10b_phase1_2k,,,,logs/cpt10b-curriculum/phase1_2k.log,,690,10.764692306518555,,,,361758720,48704.41115000729,,
,,,,,,,train,,,,3.005330055952072,7.990013446126797e-06,0.504497769639717,50.4497769639717,,,,,,,,,cpt10b_phase1_2k,,,,logs/cpt10b-curriculum/phase1_2k.log,,700,10.711986875534057,,,,367001600,48944.04801759627,,
,,,,,,,train,,,,2.98189739882946,7.989508122549507e-06,0.504156306086238,50.41563060862379,,,,,,,,,cpt10b_phase1_2k,,,,logs/cpt10b-curriculum/phase1_2k.log,,710,10.719242072105407,,,,372244480,48910.92079768869,,
,,,,,,,train,,,,2.921744227409363,7.988990346405694e-06,0.5040918826650488,50.40918826650488,,,,,,,,,cpt10b_phase1_2k,,,,logs/cpt10b-curriculum/phase1_2k.log,,720,10.720612001419067,,,,377487360,48904.67073433877,,
,,,,,,,train,,,,2.9768220633268356,7.988460119491607e-06,0.5038469047803671,50.38469047803671,,,,,,,,,cpt10b_phase1_2k,,,,logs/cpt10b-curriculum/phase1_2k.log,,730,10.725824522972108,,,,382730240,48880.90410924611,,
,,,,,,,train,,,,2.9618509858846664,7.987917443646688e-06,0.5043310853353087,50.43310853353087,,,,,,,,,cpt10b_phase1_2k,,,,logs/cpt10b-curriculum/phase1_2k.log,,740,10.715527248382568,,,,387973120,48927.87707475034,,
,,,,,,,train,,,,2.9649398773908615,7.987362320753559e-06,0.5041467187253297,50.41467187253297,,,,,,,,,cpt10b_phase1_2k,,,,logs/cpt10b-curriculum/phase1_2k.log,,750,10.71944591999054,,,,393216000,48909.99067612841,,
,,,,,,,eval,,,,2.8998187705874443,,,,,,,,,18.17085197819275,,,cpt10b_phase1_2k,,,,logs/cpt10b-curriculum/phase1_2k.log,,750,,,,,,,,
,,,,,,,train,,,,2.9567310959100723,7.986794752738034e-06,0.46916523736583704,46.916523736583706,,,,,,,,,cpt10b_phase1_2k,,,,logs/cpt10b-curriculum/phase1_2k.log,,760,11.518699717521667,,,,398458880,45516.248609422415,,
,,,,,,,train,,,,2.976494178175926,7.986214741569093e-06,0.5042230789915356,50.422307899153566,,,,,,,,,cpt10b_phase1_2k,,,,logs/cpt10b-curriculum/phase1_2k.log,,770,10.717822551727295,,,,403701760,48917.398797156355,,
,,,,,,,train,,,,2.977584406733513,7.985622289258886e-06,0.5043300159498665,50.43300159498665,,,,,,,,,cpt10b_phase1_2k,,,,logs/cpt10b-curriculum/phase1_2k.log,,780,10.715549969673157,,,,408944640,48927.7733279043,,
,,,,,,,train,,,,2.9520862102508545,7.985017397862723e-06,0.5038862917504465,50.388629175044656,,,,,,,,,cpt10b_phase1_2k,,,,logs/cpt10b-curriculum/phase1_2k.log,,790,10.724986124038697,,,,414187520,48884.725251520365,,
,,,,,,,train,,,,2.9572011083364487,7.984400069479066e-06,0.5042402048817175,50.42402048817175,,,,,,,,,cpt10b_phase1_2k,,,,logs/cpt10b-curriculum/phase1_2k.log,,800,10.717458534240723,,,,419430400,48919.06027207626,,
,,,,,,,train,,,,2.934364229440689,7.983770306249527e-06,0.5042005842401067,50.42005842401067,,,,,,,,,cpt10b_phase1_2k,,,,logs/cpt10b-curriculum/phase1_2k.log,,810,10.718300724029541,,,,424673280,48915.216460067204,,
,,,,,,,train,,,,2.9703765362501144,7.98312811035885e-06,0.5043377306631813,50.43377306631813,,,,,,,,,cpt10b_phase1_2k,,,,logs/cpt10b-curriculum/phase1_2k.log,,820,10.715386056900025,,,,429916160,48928.52177382746,,
,,,,,,,train,,,,2.9979637414216995,7.982473484034914e-06,0.5042184342935174,50.42184342935174,,,,,,,,,cpt10b_phase1_2k,,,,logs/cpt10b-curriculum/phase1_2k.log,,830,10.717921280860901,,,,435159040,48916.94818996538,,
,,,,,,,train,,,,2.984716236591339,7.98180642954872e-06,0.5042506977001245,50.425069770012456,,,,,,,,,cpt10b_phase1_2k,,,,logs/cpt10b-curriculum/phase1_2k.log,,840,10.71723551750183,,,,440401920,48920.07823694917,,
,,,,,,,train,,,,2.9705395102500916,7.981126949214389e-06,0.5041656785044856,50.41656785044856,,,,,,,,,cpt10b_phase1_2k,,,,logs/cpt10b-curriculum/phase1_2k.log,,850,10.719042801856995,,,,445644800,48911.83006650286,,
,,,,,,,train,,,,2.943380370736122,7.98043504538914e-06,0.5043424134690067,50.43424134690066,,,,,,,,,cpt10b_phase1_2k,,,,logs/cpt10b-curriculum/phase1_2k.log,,860,10.715286564826965,,,,450887680,48928.97607806221,,
,,,,,,,train,,,,2.9812409728765488,7.979730720473297e-06,0.5043550831782813,50.43550831782812,,,,,,,,,cpt10b_phase1_2k,,,,logs/cpt10b-curriculum/phase1_2k.log,,870,10.715017390251159,,,,456130560,48930.205234852234,,
,,,,,,,train,,,,3.0100621432065964,7.979013976910274e-06,0.5042366703562683,50.42366703562683,,,,,,,,,cpt10b_phase1_2k,,,,logs/cpt10b-curriculum/phase1_2k.log,,880,10.717533659934997,,,,461373440,48918.71736871035,,
,,,,,,,train,,,,2.9756458699703217,7.978284817186566e-06,0.5043357859721072,50.43357859721071,,,,,,,,,cpt10b_phase1_2k,,,,logs/cpt10b-curriculum/phase1_2k.log,,890,10.715427374839782,,,,466616320,48928.33310886391,,
,,,,,,,train,,,,2.98101370036602,7.977543243831745e-06,0.5044358027115861,50.44358027115861,,,,,,,,,cpt10b_phase1_2k,,,,logs/cpt10b-curriculum/phase1_2k.log,,900,10.713302779197694,,,,471859200,48938.036271879115,,
,,,,,,,train,,,,2.9817260801792145,7.976789259418442e-06,0.5021417186121179,50.21417186121179,,,,,,,,,cpt10b_phase1_2k,,,,logs/cpt10b-curriculum/phase1_2k.log,,910,10.762247562408447,,,,477102080,48715.47480763129,,
,,,,,,,train,,,,2.9812908470630646,7.976022866562349e-06,0.5049936497838349,50.49936497838349,,,,,,,,,cpt10b_phase1_2k,,,,logs/cpt10b-curriculum/phase1_2k.log,,920,10.701468205451965,,,,482344960,48992.15602331056,,
,,,,,,,train,,,,2.9388640224933624,7.975244067922201e-06,0.5050372199395178,50.50372199395178,,,,,,,,,cpt10b_phase1_2k,,,,logs/cpt10b-curriculum/phase1_2k.log,,930,10.70054497718811,,,,487587840,48996.38299896875,,
,,,,,,,train,,,,2.9971296936273575,7.974452866199776e-06,0.5049984347860663,50.499843478606635,,,,,,,,,cpt10b_phase1_2k,,,,logs/cpt10b-curriculum/phase1_2k.log,,940,10.701366806030274,,,,492830720,48992.62024216954,,
,,,,,,,train,,,,2.960492104291916,7.973649264139874e-06,0.5054223959493941,50.54223959493941,,,,,,,,,cpt10b_phase1_2k,,,,logs/cpt10b-curriculum/phase1_2k.log,,950,10.69239022731781,,,,498073600,49033.75099989386,,
,,,,,,,train,,,,3.006455510854721,7.972833264530319e-06,0.5049479240026534,50.49479240026534,,,,,,,,,cpt10b_phase1_2k,,,,logs/cpt10b-curriculum/phase1_2k.log,,960,10.702437281608582,,,,503316480,48987.71991880333,,
,,,,,,,train,,,,2.9649625420570374,7.972004870201938e-06,0.5047684646163195,50.47684646163195,,,,,,,,,cpt10b_phase1_2k,,,,logs/cpt10b-curriculum/phase1_2k.log,,970,10.706242299079895,,,,508559360,48970.309596398525,,
,,,,,,,train,,,,2.9619959741830826,7.971164084028563e-06,0.5052644639602045,50.526446396020454,,,,,,,,,cpt10b_phase1_2k,,,,logs/cpt10b-curriculum/phase1_2k.log,,980,10.695732378959656,,,,513802240,49018.42916632475,,
,,,,,,,train,,,,2.955211415886879,7.970310908927015e-06,0.5051287976894078,50.51287976894078,,,,,,,,,cpt10b_phase1_2k,,,,logs/cpt10b-curriculum/phase1_2k.log,,990,10.698605012893676,,,,519045120,49005.2674501154,,
